rowname	logFC	logCPM	p.adj	Gene.name
ENSG00000000003	-0.00411225813493054	4.64915680389791	0.99958421575407	TSPAN6
ENSG00000000419	0.0446771257741032	5.30300716203931	0.99958421575407	DPM1
ENSG00000000457	-0.0251531998369108	2.77623858761718	0.99958421575407	SCYL3
ENSG00000000460	-0.046680477608728	4.78121371201465	0.99958421575407	C1orf112
ENSG00000000971	0.350551318593892	1.21984286726223	0.939228428140703	CFH
ENSG00000001036	-0.0306654237161808	5.55615519708381	0.99958421575407	FUCA2
ENSG00000001084	-0.0262444600100772	5.27156005698577	0.99958421575407	GCLC
ENSG00000001167	0.04911965383006	5.6694649987955	0.99958421575407	NFYA
ENSG00000001460	-0.253594488513637	2.78221535097297	0.736202155450572	STPG1
ENSG00000001461	-0.177796942594616	5.04637555357305	0.793913670241612	NIPAL3
ENSG00000001497	0.0728369081407051	5.86291217326105	0.99958421575407	LAS1L
ENSG00000001561	-0.284259855776665	3.43863187296129	0.736894039007957	ENPP4
ENSG00000001629	-0.0530305954064917	6.55560044888083	0.99958421575407	ANKIB1
ENSG00000001630	0.909060163199491	1.82439410302296	0.40283927040749	CYP51A1
ENSG00000001631	-0.0328117573652417	4.8521219976394	0.99958421575407	KRIT1
ENSG00000002016	0.0138041067203865	4.06636902461221	0.99958421575407	RAD52
ENSG00000002079	0.465212214456089	4.14563166441056	0.0969489023668098	MYH16
ENSG00000002330	0.30200060114544	3.57796875454936	0.934431372893662	BAD
ENSG00000002549	0.0705159096789316	5.38350855222845	0.99958421575407	LAP3
ENSG00000002586	0.0748408934662857	3.72077513029099	0.99958421575407	CD99
ENSG00000002746	-0.161176830504072	2.30385269474199	0.9705743744678	HECW1
ENSG00000002822	0.127207678542394	5.89523806434884	0.995727826208316	MAD1L1
ENSG00000002834	0.081939557815966	8.04883319262622	0.99958421575407	LASP1
ENSG00000002919	-0.1224893537094	4.10165355508439	0.984105652487188	SNX11
ENSG00000003056	0.0869127300899073	7.43759383527399	0.99958421575407	M6PR
ENSG00000003096	-0.177265243848257	2.51182258729439	0.96594842656031	KLHL13
ENSG00000003137	0.110547340537829	3.11815345083777	0.99958421575407	CYP26B1
ENSG00000003393	0.197147190287065	5.71707059709515	0.60374993043353	ALS2
ENSG00000003402	0.0926248287027766	4.65099000508194	0.997191041783707	CFLAR
ENSG00000003436	0.021116092838385	6.55824264118496	0.99958421575407	TFPI
ENSG00000003509	-0.0198459453901271	4.60122983216732	0.99958421575407	NDUFAF7
ENSG00000003756	-0.19490386182523	5.69304418171895	0.629536149264316	RBM5
ENSG00000003989	-0.102813911205806	5.60245850913958	0.96538924232885	SLC7A2
